image,mos,reference,noise
waternet/1.bmp,50.76631856,1,1
funiegan/1.bmp,60.93311803,1,2
fusion18/1.bmp,61.64065312,1,3
dive/1.bmp,54.00229911,1,4
fusion12/1.bmp,54.79734647,1,5
raw/1.bmp,55.38977116,1,6
HP/1.bmp,26.50356654,1,7
IBLA/1.bmp,42.50305657,1,8
twostep/1.bmp,34.06072873,1,9
ACPAB/1.bmp,52.00799534,1,10
waternet/2.bmp,51.49078503,2,1
funiegan/2.bmp,60.14575894,2,2
fusion18/2.bmp,61.89694525,2,3
dive/2.bmp,64.28053628,2,4
fusion12/2.bmp,65.58631832,2,5
raw/2.bmp,62.48628969,2,6
HP/2.bmp,28.06547522,2,7
IBLA/2.bmp,60.78795305,2,8
twostep/2.bmp,50.4678119,2,9
ACPAB/2.bmp,27.38132056,2,10
waternet/3.bmp,56.83722122,3,1
funiegan/3.bmp,38.57782939,3,2
fusion18/3.bmp,64.47575983,3,3
dive/3.bmp,54.65289933,3,4
fusion12/3.bmp,61.67670815,3,5
raw/3.bmp,60.58118073,3,6
HP/3.bmp,26.09208112,3,7
IBLA/3.bmp,32.45328235,3,8
twostep/3.bmp,39.14343659,3,9
ACPAB/3.bmp,49.79394978,3,10
waternet/4.bmp,54.74196956,4,1
funiegan/4.bmp,64.33717523,4,2
fusion18/4.bmp,66.48351196,4,3
dive/4.bmp,38.37845127,4,4
fusion12/4.bmp,61.68701797,4,5
raw/4.bmp,46.06359823,4,6
HP/4.bmp,54.98468755,4,7
IBLA/4.bmp,56.85107459,4,8
twostep/4.bmp,57.58492046,4,9
ACPAB/4.bmp,33.00083326,4,10
waternet/5.bmp,48.0904789,5,1
funiegan/5.bmp,52.19852673,5,2
fusion18/5.bmp,76.71423817,5,3
dive/5.bmp,66.11994359,5,4
fusion12/5.bmp,46.34733844,5,5
raw/5.bmp,38.67263125,5,6
HP/5.bmp,25.03933959,5,7
IBLA/5.bmp,51.26653686,5,8
twostep/5.bmp,31.19457701,5,9
ACPAB/5.bmp,33.71766006,5,10
waternet/6.bmp,55.63481604,6,1
funiegan/6.bmp,56.67571446,6,2
fusion18/6.bmp,79.93917046,6,3
dive/6.bmp,57.05379039,6,4
fusion12/6.bmp,53.16450588,6,5
raw/6.bmp,54.06150026,6,6
HP/6.bmp,21.24533476,6,7
IBLA/6.bmp,54.18173094,6,8
twostep/6.bmp,46.98698542,6,9
ACPAB/6.bmp,32.3392344,6,10
waternet/7.bmp,44.5256792,7,1
funiegan/7.bmp,26.44124479,7,2
fusion18/7.bmp,76.30303465,7,3
dive/7.bmp,47.60804303,7,4
fusion12/7.bmp,32.30712556,7,5
raw/7.bmp,34.55455454,7,6
HP/7.bmp,21.32889338,7,7
IBLA/7.bmp,33.95970868,7,8
twostep/7.bmp,24.46821219,7,9
ACPAB/7.bmp,23.41643716,7,10
waternet/8.bmp,50.88874363,8,1
funiegan/8.bmp,52.30486608,8,2
fusion18/8.bmp,70.42384263,8,3
dive/8.bmp,52.94864234,8,4
fusion12/8.bmp,59.5574931,8,5
raw/8.bmp,48.72208511,8,6
HP/8.bmp,20.8524833,8,7
IBLA/8.bmp,50.07334073,8,8
twostep/8.bmp,52.31791357,8,9
ACPAB/8.bmp,37.35173461,8,10
waternet/9.bmp,49.42952533,9,1
funiegan/9.bmp,52.49726373,9,2
fusion18/9.bmp,47.90885133,9,3
dive/9.bmp,55.71844456,9,4
fusion12/9.bmp,51.0804624,9,5
raw/9.bmp,49.51076183,9,6
HP/9.bmp,20.9567554,9,7
IBLA/9.bmp,45.97321969,9,8
twostep/9.bmp,44.33016151,9,9
ACPAB/9.bmp,47.54239198,9,10
waternet/10.bmp,56.67131517,10,1
funiegan/10.bmp,59.62552305,10,2
fusion18/10.bmp,69.32177173,10,3
dive/10.bmp,34.77884815,10,4
fusion12/10.bmp,52.35248419,10,5
raw/10.bmp,54.36039112,10,6
HP/10.bmp,22.0013472,10,7
IBLA/10.bmp,37.61052525,10,8
twostep/10.bmp,55.18353054,10,9
ACPAB/10.bmp,67.03118374,10,10
waternet/11.bmp,62.790003,11,1
funiegan/11.bmp,59.58268358,11,2
fusion18/11.bmp,69.58858337,11,3
dive/11.bmp,70.67651877,11,4
fusion12/11.bmp,58.64616037,11,5
raw/11.bmp,39.86916511,11,6
HP/11.bmp,24.87101757,11,7
IBLA/11.bmp,45.67523671,11,8
twostep/11.bmp,40.34493205,11,9
ACPAB/11.bmp,64.62408346,11,10
waternet/12.bmp,59.27817183,12,1
funiegan/12.bmp,45.140358,12,2
fusion18/12.bmp,69.16179646,12,3
dive/12.bmp,36.15045136,12,4
fusion12/12.bmp,53.22726354,12,5
raw/12.bmp,50.79760961,12,6
HP/12.bmp,27.32733804,12,7
IBLA/12.bmp,52.97364715,12,8
twostep/12.bmp,26.36248443,12,9
ACPAB/12.bmp,55.1194189,12,10
waternet/13.bmp,65.84407855,13,1
funiegan/13.bmp,63.06814757,13,2
fusion18/13.bmp,72.69656878,13,3
dive/13.bmp,40.74705219,13,4
fusion12/13.bmp,61.27560449,13,5
raw/13.bmp,66.33481383,13,6
HP/13.bmp,24.67426616,13,7
IBLA/13.bmp,48.47094188,13,8
twostep/13.bmp,29.20852055,13,9
ACPAB/13.bmp,79.94955885,13,10
waternet/14.bmp,50.76300553,14,1
funiegan/14.bmp,59.27856305,14,2
fusion18/14.bmp,65.46802761,14,3
dive/14.bmp,48.52573423,14,4
fusion12/14.bmp,58.34438435,14,5
raw/14.bmp,61.04285254,14,6
HP/14.bmp,42.33484882,14,7
IBLA/14.bmp,34.1179084,14,8
twostep/14.bmp,68.54352674,14,9
ACPAB/14.bmp,56.58514256,14,10
waternet/15.bmp,56.26034767,15,1
funiegan/15.bmp,66.72990638,15,2
fusion18/15.bmp,56.85127319,15,3
dive/15.bmp,47.51248703,15,4
fusion12/15.bmp,63.42955224,15,5
raw/15.bmp,60.70401281,15,6
HP/15.bmp,31.40859975,15,7
IBLA/15.bmp,49.69095222,15,8
twostep/15.bmp,70.97036367,15,9
