dmos,image,noise,reference,,,,
0.756162981,I01_01_1.bmp,1,1,,,,
0.76380512,i01_01_2.bmp,1,1,,,,
0.674427377,i01_01_3.bmp,1,1,,,,
0.593235387,i01_01_4.bmp,1,1,,,,
0.519579395,i01_01_5.bmp,1,1,,,,
0.829927982,i01_02_1.bmp,2,1,,,,
0.841336686,i01_02_2.bmp,2,1,,,,
0.738176415,i01_02_3.bmp,2,1,,,,
0.641416148,i01_02_4.bmp,2,1,,,,
0.59075829,i01_02_5.bmp,2,1,,,,
0.649611941,i01_03_1.bmp,3,1,,,,
0.577728787,i01_03_2.bmp,3,1,,,,
0.496320213,i01_03_3.bmp,3,1,,,,
0.423418681,i01_03_4.bmp,3,1,,,,
0.354549066,i01_03_5.bmp,3,1,,,,
0.821732189,i01_04_1.bmp,4,1,,,,
0.790941311,i01_04_2.bmp,4,1,,,,
0.721162328,i01_04_3.bmp,4,1,,,,
0.717285319,i01_04_4.bmp,4,1,,,,
0.641416148,i01_04_5.bmp,4,1,,,,
0.814200494,i01_05_1.bmp,5,1,,,,
0.783187294,i01_05_2.bmp,5,1,,,,
0.694348862,i01_05_3.bmp,5,1,,,,
0.558884489,i01_05_4.bmp,5,1,,,,
0.415450948,i01_05_5.bmp,5,1,,,,
0.538963004,i01_06_1.bmp,6,1,,,,
0.523456404,i01_06_2.bmp,6,1,,,,
0.500197221,i01_06_3.bmp,6,1,,,,
0.465196568,i01_06_4.bmp,6,1,,,,
0.387560296,i01_06_5.bmp,6,1,,,,
0.694348862,i01_07_1.bmp,7,1,,,,
0.64653816,i01_07_2.bmp,7,1,,,,
0.538963004,i01_07_3.bmp,7,1,,,,
0.427403265,i01_07_4.bmp,7,1,,,,
0.27998514,i01_07_5.bmp,7,1,,,,
0.709532737,i01_08_1.bmp,8,1,,,,
0.606695191,i01_08_2.bmp,8,1,,,,
0.465308447,i01_08_3.bmp,8,1,,,,
0.395529463,i01_08_4.bmp,8,1,,,,
0.268032823,i01_08_5.bmp,8,1,,,,
0.837782403,i01_09_1.bmp,9,1,,,,
